"text","group","id","time","partner_id","turn","seller","study","study_group","span"
"Hello, I'm looking to purchase your beautiful sugar bowl. I've wanted this piece since I was a child; I'm willing to offer 250 in cash.",2,"D2555","0","UZR8T",1,0,"one","one_2",0
"I'm glad you're interested in my bowl. This is a very high-quality, handmade bowl made in New England in the 17th century. Therefore, I'll gladly sell you this bowl for $450.",2,"UZR8T","0","D2555",2,1,"one","one_2",10
"Would you like to buy my bowl for $450? ",2,"UZR8T"," 4:19:34 PM ","D2555",3,1,"one","one_2",20
"I understand wholeheartedly that you want to get the most money you can get out of it, but the sentimental value of it completes a set I had had as a child. I can't afford anything close to what you are asking at this time; the best I can do is $280. Please consider this as the holidays are around and it would be soo apreciated. Hope to hear from you soon. ||Best Wishes. ",2,"D2555"," 4:21:33 PM ","UZR8T",4,0,"one","one_2",139
"Since this is a very popular item and I have many other interested buyers, I'm afraid your offer of $280 is not the highest offer. However, I can offer the bowl to you for $410, which is a very good deal for this exquisite item. ",2,"UZR8T"," 4:24:09 PM ","D2555",5,1,"one","one_2",295
"Yes, I understand, it's just the pricing is too much for me to take on at this moment. I have 2 children, and with the holidays approaching their needs have to be met first; my final offer is 300. Please consider my last and final offer. Thank you. ",2,"D2555"," 4:26:33 PM ","UZR8T",6,0,"one","one_2",439
"Since I understand that finances are very tight around this time of year, I can offer the bowl to you for $400. Going any lower than that could hurt my reputation as an antiques dealer. ",2,"UZR8T"," 4:27:46 PM ","D2555",7,1,"one","one_2",512
"Could we possibly meet in the middle at 350? Again, this is such a stretch for me.",2,"D2555"," 4:29:16 PM ","UZR8T",8,0,"one","one_2",602
"You seem like a very kind person and I can tell that this bowl means a lot to you and your family. Therefore, I will offer it to you for $375. This is certainly not an ideal selling price for me, but I do occasionally make exceptions for loyal customers. ",2,"UZR8T"," 4:30:55 PM ","D2555",9,1,"one","one_2",701
"375, done. ||Thank you soo much. ",2,"D2555"," 4:31:08 PM ","UZR8T",10,0,"one","one_2",714
"Wonderful! Enjoy your beautiful bowl. ",2,"UZR8T"," 4:31:25 PM ","D2555",11,1,"one","one_2",731
"It's greatly appreciated. ||Thank you again.",2,"D2555"," 4:31:35 PM ","UZR8T",12,0,"one","one_2",741
"Thank you! ",2,"UZR8T"," 4:32:09 PM ","D2555",13,1,"one","one_2",775
"Hi, I would like to buy the beautiful sugar bowl you have on sale, and I would be more than happy to offer $250 for it.  Thank you. ",4,"3JSMN","0","DFYVU",1,0,"one","one_4",0
"Not a chance.",4,"DFYVU","0","3JSMN",2,1,"one","one_4",10
"Hi, what price are you looking to sell the sugar bowl at? ",4,"3JSMN"," 4:16:27 PM ","DFYVU",3,0,"one","one_4",20
"$375 is more than fair, with the price of silver alone. Makes it a bargain. ",4,"DFYVU"," 4:18:16 PM ","3JSMN",4,1,"one","one_4",129
"I would be willing to offer $350. ",4,"3JSMN"," 4:18:39 PM ","DFYVU",5,0,"one","one_4",152
"I'm firm, so you have the opportunity to confirm the recent price levels of silver.",4,"DFYVU"," 4:19:38 PM ","3JSMN",6,1,"one","one_4",211
"Okay, I would be willing to pay $375 for the sugar bowl. ||*willing ",4,"3JSMN"," 4:20:10 PM ","DFYVU",7,0,"one","one_4",243
"Thank you, enjoy. ",4,"DFYVU"," 4:20:32 PM ","3JSMN",8,1,"one","one_4",265
"Thank you. ",4,"3JSMN"," 4:20:42 PM ","DFYVU",9,0,"one","one_4",275
"Hello, I am interested in buying the sugar bowl for $250.00, Thanks",7,"73FN4","0","JQEPJ",1,0,"one","one_7",0
"Thanks for the bid, but such bowls are finely crafted, centuries-old, and hard to find.  The time and effort to procure them alone makes that an unacceptable underbid.",7,"JQEPJ","0","73FN4",2,1,"one","one_7",10
"Would you reconsider to a more mutually  acceptable purchase price? ",7,"JQEPJ"," 4:24:36 PM ","73FN4",3,1,"one","one_7",20
"I appreciate your communication, but with difficulty I will be able to pay you $350.00.",7,"73FN4"," 4:27:00 PM ","JQEPJ",4,0,"one","one_7",164
"Hello, How are you? I am looking to buy the sugar bowl for $250. :) ",9,"X8DZT","0","WZ3UX",1,0,"one","one_9",0
"Good day! I see you have had a look at that Langlands sugar bowl. He was a very interesting New England silversmith at the time, obviously overshadowed by the bigger names, so a bit more fastidious, and a perfectionist to distinguish himself. He's at present a minor silversmith, but there are quite remarkable points which will put him up with the masters, I assure you.  ",9,"WZ3UX","0","X8DZT",2,1,"one","one_9",10
"What say you? Are you appreciating these finer points of Langland's work that override his more populist common celebrities? ",9,"WZ3UX"," 4:53:14 PM ","X8DZT",3,1,"one","one_9",20
"Absolutely. ||Thank you for that piece of story. I love it. ||How about $280? ",9,"X8DZT"," 4:53:27 PM ","WZ3UX",4,0,"one","one_9",33
"Terrific. Well, you can see right here that this sugar bowl has this ....do you see that blemish? THAT was enough for that Langland to reject it. Whereas look at what it is selling for: over ten thousand dollars because that drunkard who napped after lunch has his name on it... ",9,"WZ3UX"," 4:54:54 PM ","X8DZT",5,1,"one","one_9",120
"Mhmm. ",9,"X8DZT"," 4:55:29 PM ","WZ3UX",6,0,"one","one_9",155
"It's a steal at $400, I think. I like your enthusiasm. ",9,"WZ3UX"," 4:55:35 PM ","X8DZT",7,1,"one","one_9",161
"How about 350? ",9,"X8DZT"," 4:55:45 PM ","WZ3UX",8,0,"one","one_9",171
"$370 and its yours.",9,"WZ3UX"," 4:56:03 PM ","X8DZT",9,1,"one","one_9",189
"360? ",9,"X8DZT"," 4:56:13 PM ","WZ3UX",10,0,"one","one_9",199
"It IS Christmas after all. ||$370? ",9,"WZ3UX"," 4:56:17 PM ","X8DZT",11,1,"one","one_9",203
"Hmm.. alright. ||370 it is.",9,"X8DZT"," 4:56:49 PM ","WZ3UX",12,0,"one","one_9",235
"Yay! Good show! Well done! Allow me to wrap this up for you, and I will tell you a few more things about Langland. He was very short, you know.",9,"WZ3UX"," 4:57:44 PM ","X8DZT",13,1,"one","one_9",290
"Alright. Thank you so much! ",9,"X8DZT"," 4:58:01 PM ","WZ3UX",14,0,"one","one_9",307
"I'll take this bowl for 250.",10,"B446N","0","6GVRF",1,0,"one","one_10",0
"I need 350",10,"6GVRF","0","B446N",2,1,"one","one_10",10
"The best I can do is 300.",10,"B446N"," 4:50:22 PM ","6GVRF",3,0,"one","one_10",20
